datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,modelType,inputWidth,inputHeight,tabId
2025-06-22T12:21:43.375Z,1750594903375,inference_aggregated,offscreen,11.77,118,10025.5,79.15,55.7,716,54.22,34,629.2,24.47,16.9,86.6,0.17,0,0.8,classification,731,731,866040862
2025-06-22T12:21:53.440Z,1750594913440,inference_aggregated,offscreen,13.59,137,10080.4,69.01,53,165.2,45.19,33.2,102.7,23.27,17.4,62.9,0.17,0,0.6,classification,731,731,866040862
2025-06-22T12:22:03.467Z,1750594923467,inference_aggregated,offscreen,13.76,138,10027.9,68.11,54,171.2,45.04,32.9,140.5,22.51,16.9,41.7,0.15,0,0.7,classification,731,731,866040862
2025-06-22T12:22:13.512Z,1750594933512,inference_aggregated,offscreen,14.04,141,10045,66.76,51.4,165,43.81,30.1,124.1,22.44,17.1,73.3,0.14,0,0.8,classification,731,731,866040862
2025-06-22T12:22:23.562Z,1750594943562,inference_aggregated,offscreen,13.83,139,10049.7,67.81,54.4,147.1,44.71,34.3,110.6,22.58,17.1,36.2,0.15,0,0.7,classification,731,731,866040862
2025-06-22T12:22:33.596Z,1750594953596,inference_aggregated,offscreen,14.35,144,10031.9,65.26,52.7,144.7,42.75,32.1,91.8,22.05,17.1,52.6,0.15,0,1.3,classification,731,731,866040862
2025-06-22T12:22:43.650Z,1750594963650,inference_aggregated,offscreen,14.42,145,10056.1,64.9,52.5,80.1,42.45,31,57,21.96,16.6,33.9,0.16,0,1.4,classification,731,731,866040862
2025-06-22T12:22:53.688Z,1750594973688,inference_aggregated,offscreen,14.05,141,10037.8,66.71,52.9,125.6,43.96,32.6,89.3,22.24,17.2,36.4,0.14,0,0.4,classification,731,731,866040862
2025-06-22T12:23:03.709Z,1750594983709,inference_aggregated,offscreen,14.07,141,10021.1,66.61,53.4,138,44.35,32.6,113.1,21.78,16.3,43.1,0.16,0,1.7,classification,731,731,866040862
2025-06-22T12:23:13.726Z,1750594993726,inference_aggregated,offscreen,14.58,146,10017,64.19,49.7,77.9,41.92,30.4,55.6,21.81,16.3,30.7,0.14,0,0.4,classification,731,731,866040862
2025-06-22T12:23:27.352Z,1750595007352,inference_aggregated,offscreen,1.17,16,13625.8,779.13,56.4,11230.4,754.47,36.3,11206.6,24.26,17.2,44.3,0.16,0,0.3,classification,731,731,866040862
2025-06-22T12:23:44.450Z,1750595024450,inference_aggregated,offscreen,0.88,15,17096.5,1206.09,51,9204,1115.25,35.1,8130,90.42,15.5,1073.5,0.13,0,0.3,classification,731,731,866040862
2025-06-22T12:23:54.468Z,1750595034468,inference_aggregated,offscreen,11.78,118,10018,80.25,54.5,221.1,51.13,33,132.2,28.5,17.2,88.6,0.18,0,1.8,classification,731,731,866040862
2025-06-22T12:23:55.702Z,1750595035702,inference_aggregated,offscreen,8.91,11,1234.4,104.71,67.4,263.9,73.76,44.1,220.5,30.37,18.8,73.1,0.22,0.1,0.5,classification,731,731,866040862
