datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,durationMs,modelType,inputWidth,inputHeight
2025-07-05T09:40:05.201Z,1751708405201,inference_aggregated,injected,7.35,74,10071.4,128.48,80.5,741.6,76.51,37.9,654.9,50.84,28.9,92.8,1.06,0.5,2.3,,classification,987,982
2025-07-05T09:40:15.294Z,1751708415294,inference_aggregated,injected,8.62,87,10092.8,111.83,84.6,196.3,59.16,38,114.8,51.2,40.9,94.7,1.2,0.4,4.2,,classification,987,982
2025-07-05T09:40:25.360Z,1751708425360,inference_aggregated,injected,8.64,87,10066.2,111.11,86.1,202.9,59.31,35.2,141.9,50.34,40.4,91.8,1.28,0.4,10.5,,classification,987,982
2025-07-05T09:40:35.388Z,1751708435388,inference_aggregated,injected,8.88,89,10027.8,108.03,80.4,210.9,56.19,37.1,111.9,50.35,37.4,102.5,1.1,0.4,2.7,,classification,987,982
2025-07-05T09:40:45.434Z,1751708445434,inference_aggregated,injected,8.86,89,10045.9,108.02,83.3,180.4,57.12,36.8,108.4,49.53,37.3,87.4,1.17,0.5,2.9,,classification,987,982
2025-07-05T09:40:55.512Z,1751708455512,inference_aggregated,injected,8.93,90,10078.3,107.34,79.3,198.3,55.9,36.8,123.2,50.06,35,119.7,1.12,0.4,6.6,,classification,987,982
2025-07-05T09:41:05.574Z,1751708465574,inference_aggregated,injected,8.75,88,10061.9,110.53,80.2,215.7,58.2,32.9,116.8,50.89,36.1,114.8,1.1,0.4,4,,classification,987,982
2025-07-05T09:41:15.588Z,1751708475588,inference_aggregated,injected,8.39,84,10013.9,113.85,81.5,198.2,59.34,36.7,116.6,52.91,40.2,123.5,1.12,0.4,3.1,,classification,987,982
2025-07-05T09:41:25.681Z,1751708485681,inference_aggregated,injected,8.42,85,10093.4,113.51,85.8,205.8,59.4,34.5,133.4,52.7,38.3,99.5,1.1,0.4,4.5,,classification,987,982
2025-07-05T09:41:35.688Z,1751708495688,inference_aggregated,injected,8.89,89,10006,108.41,81.8,205.4,56.06,37.3,114.3,51.02,38.8,112.8,1.1,0.4,2.5,,classification,987,982
2025-07-05T09:41:45.837Z,1751708505837,inference_aggregated,injected,8.47,86,10149.5,113.54,84.5,192.4,59,36.9,111,53.12,38.1,125.9,1.03,0.4,3.9,,classification,987,982
2025-07-05T09:41:55.856Z,1751708515856,inference_aggregated,injected,8.58,86,10019.5,111.1,81.1,212.7,57.78,33.7,135.8,51.81,38.5,113.2,1.17,0.4,4.1,,classification,987,982
2025-07-05T09:42:05.954Z,1751708525954,inference_aggregated,injected,8.52,86,10097.3,111.68,80,186.3,58.67,33.9,102.1,51.63,41.2,112.6,0.98,0.4,3.1,,classification,987,982
2025-07-05T09:42:15.955Z,1751708535955,inference_aggregated,injected,8.3,83,10001.5,114.81,89,214.5,60.15,38.9,114.4,53.33,39.2,126.4,1.09,0.4,5.8,,classification,987,982
2025-07-05T09:42:26.001Z,1751708546001,inference_aggregated,injected,8.66,87,10046.4,111.08,82.9,190.9,57.5,34.1,112.1,52.02,39.2,120.2,1.13,0.4,3.7,,classification,987,982
2025-07-05T09:42:36.032Z,1751708556032,inference_aggregated,injected,8.67,87,10030.7,110.51,74.3,187.5,56.08,34,118,52.92,39.1,104.6,1.13,0.4,3.8,,classification,987,982
2025-07-05T09:42:46.134Z,1751708566134,inference_aggregated,injected,8.81,89,10102.2,109.45,83.3,231.7,56.24,40.3,115.1,51.71,39.8,111,1.19,0.4,4.5,,classification,987,982
2025-07-05T09:42:56.299Z,1751708576299,inference_aggregated,injected,8.07,82,10165.2,118.47,86.4,204.2,63.4,41.5,124.9,53.68,41.9,99.3,1.18,0.4,3.8,,classification,987,982
2025-07-05T09:43:06.386Z,1751708586386,inference_aggregated,injected,7.63,77,10086.1,123.81,87.3,268.6,68.47,38,183.7,53.95,38.6,98.3,1.01,0.4,2.9,,classification,987,982
2025-07-05T09:43:07.553Z,1751708587553,inference_aggregated,injected,8.57,10,1167.5,103.65,88.2,119.8,53.25,41.9,67.1,49.59,40.4,56.5,1.04,0.4,2.4,,classification,987,982
